Image Name	Image Plane	Image Date and Time	Elapsed Time	Stage Label	Wavelength	Object #	Frame #	X	Y	Distance	Time Interval	Velocity	Absolute Angle	Distance To Origin	Delta X	Delta Y
Subtract	1	55:02.3	00:00.0	No Label	0	1	1	125.005	55.8135	0	0	0	0	136.899	0	0
Subtract	2	55:02.3	00:00.1	No Label	0	1	2	125.005	55.8135	0	50	0	0	136.899	0	0
Subtract	3	55:02.4	00:00.2	No Label	0	1	3	125.005	55.8135	0	50	0	0	136.899	0	0
Subtract	4	55:02.5	00:00.2	No Label	0	1	4	128.58	51.9117	5.29167	50	0.1058334	137.506	138.664	3.57459	-3.9018
Subtract	5	55:02.5	00:00.2	No Label	0	1	5	130.156	52.4961	1.6808	50	0.033616	69.6534	140.344	1.57593	0.584412
Subtract	6	55:02.6	00:00.3	No Label	0	1	6	132.289	53.7327	2.46578	50	0.0493156	59.9007	142.785	2.13329	1.23659
Subtract	7	55:02.6	00:00.3	No Label	0	1	7	138.054	51.547	6.16576	50	0.1233152	110.763	147.364	5.76534	-2.18574
Subtract	8	55:02.6	00:00.4	No Label	0	1	8	139.898	53.1568	2.44788	50	0.0489576	48.879	149.657	1.84404	1.60985
Subtract	9	55:02.7	00:00.4	No Label	0	1	9	145.505	52.0363	5.71697	50	0.1143394	101.303	154.529	5.60609	-1.12048
Subtract	10	55:02.7	00:00.5	No Label	0	1	10	147.734	51.238	2.36831	50	0.0473662	109.699	156.367	2.22971	-0.798306
Subtract	11	55:02.8	00:00.5	No Label	0	1	11	147.492	51.3864	0.284365	50	0.0056873	-58.5536	156.187	-0.242599	0.148354
Subtract	12	55:02.8	00:00.5	No Label	0	1	12	152.136	49.6886	4.94509	50	0.0989018	110.08	160.045	4.6445	-1.69781
Subtract	13	55:02.9	00:00.6	No Label	0	1	13	156.408	48.4085	4.45953	50	0.0891906	106.681	163.728	4.27187	-1.28008
Subtract	14	55:02.9	00:00.6	No Label	0	1	14	159.648	47.3721	3.40171	50	0.0680342	107.738	166.528	3.23999	-1.03638
Subtract	15	55:02.9	00:00.7	No Label	0	1	15	168.006	46.0243	8.46598	50	0.1693196	99.1608	174.196	8.358	-1.34782
Subtract	16	55:03.0	00:00.7	No Label	0	1	16	174.576	44.8728	6.67062	50	0.1334124	99.9405	180.251	6.57048	-1.15151
Subtract	17	55:03.0	00:00.8	No Label	0	1	17	185.363	43.8633	10.8342	50	0.216684	95.3467	190.483	10.787	-1.00953
Subtract	18	55:03.1	00:00.8	No Label	0	1	18	193.248	42.6833	7.97254	50	0.1594508	98.5112	197.906	7.88474	-1.17995
Subtract	19	55:03.1	00:00.9	No Label	0	1	19	197.987	42.272	4.75697	50	0.0951394	94.9608	202.45	4.73915	-0.411346
Subtract	20	55:03.2	00:00.9	No Label	0	1	20	205.924	41.5953	7.96501	50	0.1593002	94.8734	210.083	7.93622	-0.676647
Subtract	21	55:03.2	00:00.9	No Label	0	1	21	210.804	40.958	4.9215	50	0.09843	97.4404	214.746	4.88007	-0.637302
Subtract	22	55:03.2	00:01.0	No Label	0	1	22	218.171	40.2309	7.40344	50	0.1480688	95.6365	221.85	7.36765	-0.727135
Subtract	23	55:03.3	00:01.0	No Label	0	1	23	221.952	39.4592	3.85874	50	0.0771748	101.536	225.432	3.78079	-0.771679
Subtract	24	55:03.3	00:01.1	No Label	0	1	24	222.852	39.3864	0.902631	50	0.01805262	94.6279	226.306	0.899689	-0.0728264
Subtract	25	55:03.4	00:01.1	No Label	0	1	25	227.06	39.2319	4.21077	50	0.0842154	92.1026	230.424	4.20793	-0.15448
Subtract	26	55:03.4	00:01.2	No Label	0	1	26	228.796	38.8839	1.77127	50	0.0354254	101.331	232.077	1.73674	-0.348019
Subtract	27	55:03.5	00:01.2	No Label	0	1	27	229.484	38.9025	0.687461	50	0.01374922	88.4516	232.758	0.68721	0.0185776
Subtract	28	55:03.5	00:01.2	No Label	0	1	28	232.873	38.5037	3.41277	50	0.0682554	96.7106	236.035	3.38939	-0.398792
Subtract	29	55:03.5	00:01.3	No Label	0	1	29	234.612	38.4422	1.73978	50	0.0347956	92.0245	237.74	1.73869	-0.0614586
Subtract	30	55:03.6	00:01.3	No Label	0	1	30	238.571	37.9481	3.99023	50	0.0798046	97.1134	241.57	3.95952	-0.494122
Subtract	31	55:03.6	00:01.4	No Label	0	1	31	240.915	37.6545	2.36252	50	0.0472504	97.139	243.84	2.34421	-0.293602
Subtract	32	55:03.7	00:01.4	No Label	0	1	32	241.563	37.7232	0.651061	50	0.01302122	83.9467	244.491	0.64743	0.0686569
Subtract	33	55:03.7	00:01.4	No Label	0	1	33	244.893	37.4578	3.34069	50	0.0668138	94.556	247.741	3.33014	-0.265358
Subtract	34	55:03.7	00:01.5	No Label	0	1	34	245.903	37.032	1.09609	50	0.0219218	112.857	248.676	1.01003	-0.425755
Subtract	35	55:03.8	00:01.5	No Label	0	1	35	248.979	37.0058	3.0756	50	0.061512	90.4895	251.714	3.07549	-0.0262718
Subtract	36	55:03.8	00:01.6	No Label	0	1	36	250.197	36.8082	1.23394	50	0.0246788	99.2148	252.89	1.21802	-0.197598
Subtract	37	55:03.9	00:01.6	No Label	0	1	37	250.281	36.8477	0.0928101	50	0.001856202	64.7663	252.978	0.0839539	0.039566
Subtract	38	55:03.9	00:01.7	No Label	0	1	38	252.802	37.0699	2.53081	50	0.0506162	84.9647	255.505	2.52104	0.22213
Subtract	39	55:04.0	00:01.7	No Label	0	1	39	254.202	36.7515	1.43611	50	0.0287222	102.809	256.845	1.40038	-0.318386
Subtract	40	55:04.0	00:01.8	No Label	0	1	40	255.048	36.705	0.847725	50	0.0169545	93.142	257.676	0.846451	-0.046463
Subtract	41	55:04.1	00:01.8	No Label	0	1	41	259.59	36.3112	4.55842	50	0.0911684	94.9559	262.117	4.54138	-0.393791
Subtract	42	55:04.1	00:01.8	No Label	0	1	42	262.208	36.0872	2.62761	50	0.0525522	94.8912	264.679	2.61804	-0.224037
Subtract	43	55:04.1	00:01.9	No Label	0	1	43	266.55	36.5002	4.36191	50	0.0872382	84.5673	269.038	4.34232	0.412975
Subtract	44	55:04.2	00:01.9	No Label	0	1	44	269.625	36.6394	3.07795	50	0.061559	87.407	272.103	3.0748	0.139252
Subtract	45	55:04.2	00:02.0	No Label	0	1	45	271.843	36.4944	2.22288	50	0.0444576	93.7411	274.282	2.21814	-0.145035
Subtract	46	55:04.3	00:02.0	No Label	0	1	46	275.387	37.3563	3.647	50	0.07294	76.3304	277.909	3.5437	0.861874
Subtract	47	55:04.3	00:02.0	No Label	0	1	47	277.083	37.4102	1.6969	50	0.033938	88.1788	279.597	1.69604	0.0539322
Subtract	48	55:04.4	00:02.1	No Label	0	1	48	280.225	38.8266	3.44671	50	0.0689342	65.7365	282.902	3.14224	1.41637
Subtract	49	55:04.4	00:02.1	No Label	0	1	49	281.814	38.8639	1.58967	50	0.0317934	88.6538	284.481	1.58923	0.0373497
Subtract	50	55:04.4	00:02.2	No Label	0	1	50	282.349	38.8696	0.534515	50	0.0106903	89.3896	285.012	0.534485	0.00569534
Subtract	51	55:04.5	00:02.2	No Label	0	1	51	284.605	40.6222	2.85705	50	0.057141	52.163	287.49	2.25638	1.75256
Subtract	52	55:04.5	00:02.3	No Label	0	1	52	286.272	40.8238	1.67854	50	0.0335708	83.1009	289.168	1.66638	0.20163
Subtract	53	55:04.6	00:02.3	No Label	0	1	53	287.244	40.8258	0.972261	50	0.01944522	89.8848	290.131	0.97226	0.00195694
Subtract	54	55:04.6	00:02.4	No Label	0	1	54	290.73	42.3251	3.79513	50	0.0759026	66.7292	293.795	3.48639	1.49937
Subtract	55	55:04.7	00:02.4	No Label	0	1	55	293.07	42.5554	2.35103	50	0.0470206	84.3784	296.143	2.33972	0.230305
Subtract	56	55:04.7	00:02.4	No Label	0	1	56	298.311	44.6491	5.64376	50	0.1128752	68.2248	301.634	5.24106	2.09365
Subtract	57	55:04.7	00:02.5	No Label	0	1	57	301.454	45.3894	3.22953	50	0.0645906	76.7477	304.852	3.14352	0.740337
Subtract	58	55:04.8	00:02.5	No Label	0	1	58	302.895	45.3441	1.44135	50	0.028827	91.8006	306.27	1.44064	-0.0452881
Subtract	59	55:04.8	00:02.6	No Label	0	1	59	306.742	47.3737	4.34909	50	0.0869818	62.1825	310.378	3.8465	2.02954
Subtract	60	55:04.9	00:02.6	No Label	0	1	60	309.117	47.7409	2.4037	50	0.048074	81.2124	312.782	2.37549	0.367222
Subtract	61	55:04.9	00:02.6	No Label	0	1	61	313.006	50.4763	4.75498	50	0.0950996	54.8809	317.05	3.88937	2.73544
Subtract	62	55:04.9	00:02.7	No Label	0	1	62	315.155	50.6005	2.15172	50	0.0430344	86.6929	319.191	2.14813	0.12413
Subtract	63	55:05.0	00:02.7	No Label	0	1	63	315.925	50.9656	0.852209	50	0.01704418	64.6298	320.009	0.77002	0.365143
Subtract	64	55:05.0	00:02.8	No Label	0	1	64	318.592	53.6445	3.7804	50	0.075608	44.8767	323.077	2.66739	2.6789
Subtract	65	55:05.1	00:02.8	No Label	0	1	65	320.161	54.0438	1.61922	50	0.0323844	75.724	324.691	1.56921	0.399288
